CS_WarnFriendlyDamageInterval | gamedll,cheat | Defines how frequently the server notifies clients that a player damaged a friend
Inferno_concav_plane_threshold | developmentonly,clientdll,defensive | 
_fov | developmentonly,clientdll,defensive | Automates fov command to server.
ag2_network_recipeshape_cache_size | developmentonly,gamedll,dontrecord | Cache size for recently-used pose recipe shapes.
ag2_preserve_params_on_reload | developmentonly,gamedll,clientdll,replicated | When an animgraph is reloaded, should the underlying system restore all params?
ag2_use_networked_serialization_context_demo | developmentonly,gamedll,clientdll,replicated,dontrecord | Use networked compatibility serialization context in demo playback.
ag2_use_networked_serialization_context_game | developmentonly,gamedll,clientdll,replicated | Use networked compatibility serialization context in games.
ai_debug_dyninteractions | gamedll,cheat | Debug the NPC dynamic interaction system.
ai_debug_los | gamedll,cheat | NPC Line-Of-Sight debug mode. If 1, solid entities that block NPC LOC will be highlighted with white bounding boxes. If 2, it'll show non-solid entities that would do it if they were solid.
ai_debug_ragdoll_magnets | developmentonly,gamedll,defensive | 
ai_debug_scripted_sequence | gamedll,cheat | 
ai_debug_shoot_positions | gamedll,clientdll,replicated,cheat | 
ai_debug_speech | developmentonly,gamedll,defensive | 
ai_disabled | gamedll,clientdll,replicated,cheat | 
ai_force_serverside_ragdoll | developmentonly,gamedll,defensive | 
ai_off_nav_show_nearest | gamedll,cheat | 
ai_sequence_debug | developmentonly,gamedll,clientdll,replicated,defensive | 
ai_use_visibility_cache | developmentonly,gamedll,defensive | Sets whether or not NPCs can cache their Visibility checks against other entities. If set to 2, also tests to make sure that NPC->Target results match that of Target->NPC.
ai_use_visibility_cache_reciprocation | developmentonly,gamedll,defensive | Sets whether or not the visibility check cache should be reciprocal.
always_perform_full_spatial_partition_update | developmentonly,gamedll,clientdll,replicated | 
ammo_338mag_headshot_mult | developmentonly,gamedll,clientdll,replicated,defensive | You must enable tweaking via tweak_ammo_impulses to use this value.
ammo_338mag_impulse | developmentonly,gamedll,clientdll,replicated,defensive | You must enable tweaking via tweak_ammo_impulses to use this value.
ammo_338mag_max | gamedll,clientdll,replicated,release | 
ammo_357sig_headshot_mult | developmentonly,gamedll,clientdll,replicated,defensive | You must enable tweaking via tweak_ammo_impulses to use this value.
ammo_357sig_impulse | developmentonly,gamedll,clientdll,replicated,defensive | You must enable tweaking via tweak_ammo_impulses to use this value.
ammo_357sig_max | gamedll,clientdll,replicated,release | 
ammo_357sig_min_max | gamedll,clientdll,replicated,release | 
ammo_357sig_p250_max | gamedll,clientdll,replicated,release | 
ammo_357sig_small_max | gamedll,clientdll,replicated,release | 
ammo_45acp_headshot_mult | developmentonly,gamedll,clientdll,replicated,defensive | You must enable tweaking via tweak_ammo_impulses to use this value.
ammo_45acp_impulse | developmentonly,gamedll,clientdll,replicated,defensive | You must enable tweaking via tweak_ammo_impulses to use this value.
ammo_45acp_max | gamedll,clientdll,replicated,release | 
ammo_50AE_headshot_mult | developmentonly,gamedll,clientdll,replicated,defensive | You must enable tweaking via tweak_ammo_impulses to use this value.
ammo_50AE_impulse | developmentonly,gamedll,clientdll,replicated,defensive | You must enable tweaking via tweak_ammo_impulses to use this value.
ammo_50AE_max | gamedll,clientdll,replicated,release | 
ammo_556mm_box_headshot_mult | developmentonly,gamedll,clientdll,replicated,defensive | You must enable tweaking via tweak_ammo_impulses to use this value.
ammo_556mm_box_impulse | developmentonly,gamedll,clientdll,replicated,defensive | You must enable tweaking via tweak_ammo_impulses to use this value.
ammo_556mm_box_max | gamedll,clientdll,replicated,release | 
ammo_556mm_headshot_mult | developmentonly,gamedll,clientdll,replicated,defensive | You must enable tweaking via tweak_ammo_impulses to use this value.
ammo_556mm_impulse | developmentonly,gamedll,clientdll,replicated,defensive | You must enable tweaking via tweak_ammo_impulses to use this value.
ammo_556mm_max | gamedll,clientdll,replicated,release | 
ammo_556mm_small_max | gamedll,clientdll,replicated,release | 
ammo_57mm_headshot_mult | developmentonly,gamedll,clientdll,replicated,defensive | You must enable tweaking via tweak_ammo_impulses to use this value.
ammo_57mm_impulse | developmentonly,gamedll,clientdll,replicated,defensive | You must enable tweaking via tweak_ammo_impulses to use this value.
ammo_57mm_max | gamedll,clientdll,replicated,release | 
ammo_762mm_headshot_mult | developmentonly,gamedll,clientdll,replicated,defensive | You must enable tweaking via tweak_ammo_impulses to use this value.
ammo_762mm_impulse | developmentonly,gamedll,clientdll,replicated,defensive | You must enable tweaking via tweak_ammo_impulses to use this value.
ammo_762mm_max | gamedll,clientdll,replicated,release | 
ammo_9mm_headshot_mult | developmentonly,gamedll,clientdll,replicated,defensive | You must enable tweaking via tweak_ammo_impulses to use this value.
ammo_9mm_impulse | developmentonly,gamedll,clientdll,replicated,defensive | You must enable tweaking via tweak_ammo_impulses to use this value.
ammo_9mm_max | gamedll,clientdll,replicated,release | 
ammo_buckshot_headshot_mult | developmentonly,gamedll,clientdll,replicated,defensive | You must enable tweaking via tweak_ammo_impulses to use this value.
ammo_buckshot_impulse | developmentonly,gamedll,clientdll,replicated,defensive | You must enable tweaking via tweak_ammo_impulses to use this value.
ammo_buckshot_max | gamedll,clientdll,replicated,release | 
ammo_grenade_limit_default | gamedll,clientdll,replicated,release,commandline_enforced | 
ammo_grenade_limit_flashbang | gamedll,clientdll,replicated,release,commandline_enforced | 
ammo_grenade_limit_total | gamedll,clientdll,replicated,release,commandline_enforced | 
ammo_item_limit_adrenaline | gamedll,clientdll,replicated,release | 
ammo_item_limit_healthshot | gamedll,clientdll,replicated,release,commandline_enforced | 
anim_disable | developmentonly,gamedll,clientdll,replicated | 
animated_material_attributes | clientdll,cheat | 
animgraph2_enable_parallel_update | developmentonly,gamedll,clientdll,replicated,defensive | 
animgraph2_serialize_pose_recipe_in_pre_pack_entities | developmentonly,gamedll,clientdll,replicated,defensive | 
animgraph_debug | gamedll,clientdll,replicated,cheat | Debug animation graph
animgraph_debug_animevents | developmentonly,gamedll,clientdll,replicated | Print info about animevents emitted by AnimGraph
animgraph_debug_entindex | gamedll,clientdll,replicated,cheat | The entity to specifically debug
animgraph_debug_filterent | developmentonly,gamedll,clientdll,replicated,defensive | Filter setting for animgraph_debug_variables output. If set to -1, show debug for all entities. If set to 0, show debug for any NPCs that have been npc_selected. If set to >0, something other than 0, show debug for the entity with the matching entindex.
animgraph_debug_set_filter_params | developmentonly,gamedll,clientdll,replicated,defensive | Comma separated list of params to filter against when drawing debug text overlays
animgraph_debug_set_filter_tags | developmentonly,gamedll,clientdll,replicated,defensive | Comma separated list of tags to filter against when drawing debug text overlays
animgraph_debug_show_unreferenced_params | developmentonly,gamedll,clientdll,replicated,defensive | 
animgraph_debug_show_unreferenced_tags | developmentonly,gamedll,clientdll,replicated,defensive | 
animgraph_debug_tags | developmentonly,gamedll,clientdll,replicated,defensive | 
animgraph_debug_variables | developmentonly,gamedll,clientdll,replicated,defensive | Turn on to see animgraph variable changes for entities passing animgraph_debug_filterent.
animgraph_debug_variables_ignore_missing | developmentonly,gamedll,clientdll,replicated,defensive | If set, animgraph_debug_variables won't show debug for warnings about sets to missing variables.
animgraph_debug_variables_ignore_nonchanges | developmentonly,gamedll,clientdll,replicated,defensive | If set, animgraph_debug_variables won't show debug for variable sets that don't change the value.
animgraph_draw_traces | developmentonly,gamedll,clientdll,replicated,defensive | 
animgraph_enable | developmentonly,gamedll,clientdll,replicated | Enable animation graph
animgraph_footstep_node_supresses_events | developmentonly,gamedll,clientdll,replicated,defensive | 
animgraph_network_enable | developmentonly,gamedll,clientdll,replicated | Enable animation graph networking. The setting is only read at graph creation time; to use please set on the command line.
animgraph_parallel_postdataupdate | developmentonly,clientdll,defensive | 
animgraph_slope_draw_raycasts | gamedll,clientdll,replicated,cheat | 
animgraph_slope_enable | gamedll,clientdll,replicated,cheat | 
animgraph_trace_ignore_prop_physics | developmentonly,gamedll,clientdll,replicated,defensive | 
animgraph_trace_static_only | gamedll,clientdll,replicated,cheat | 
annotation_auto_load | clientdll,release,commandline_enforced | 
autosave_fully_async | developmentonly,gamedll,defensive | Set to 1 to have autosaves execute completely on the save thread, forces 'render only' mode while the save completes
battery_saver |  | OBSOLETE replaced by mobile_fps_* - Battery saver mode. 0=off, 1=on
bot_allow_grenades | gamedll,release | If nonzero, bots may use grenades.
bot_allow_machine_guns | gamedll,release | If nonzero, bots may use the machine gun.
bot_allow_pistols | gamedll,release | If nonzero, bots may use pistols.
bot_allow_rifles | gamedll,release | If nonzero, bots may use rifles.
bot_allow_rogues | gamedll,release,commandline_enforced | If nonzero, bots may occasionally go 'rogue'. Rogue bots do not obey radio commands, nor pursue scenario goals.
bot_allow_shotguns | gamedll,release | If nonzero, bots may use shotguns.
bot_allow_snipers | gamedll,release | If nonzero, bots may use sniper rifles.
bot_allow_sub_machine_guns | gamedll,release | If nonzero, bots may use sub-machine guns.
bot_auto_follow | gamedll,release | If nonzero, bots with high co-op may automatically follow a nearby human player.
bot_auto_vacate | gamedll,release | If nonzero, bots will automatically leave to make room for human players.
bot_autodifficulty_threshold_high | gamedll,clientdll,replicated,release,commandline_enforced | Upper bound above Average Human Contribution Score that a bot must be above to change its difficulty
bot_autodifficulty_threshold_low | gamedll,clientdll,replicated,release,commandline_enforced | Lower bound below Average Human Contribution Score that a bot must be below to change its difficulty
